Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
sebkuepers/zkproof_slack,0,0,0,0,2024-12-14,Python,1
TheoCaldas/zk-mlp,0,0,0,0,2025-07-04,TypeScript,1
ZK-Plus/tutorials,0,0,5,13,2024-07-31,Python,2
only4sim/Porting-real-world-ML-model-s-into-ZK,0,0,0,0,2025-05-30,Jupyter Notebook,1
ZK-Plus/ZoKrateslib,0,0,0,2,2024-08-06,Rust,1
WadeLittle/REUAnalysis,0,0,0,0,2025-06-16,JavaScript,1
shivammchaudhary/ZKPSmartcontracts,0,0,0,0,2023-05-20,Solidity,1
syedabdulsamadahmedali/Blockchain_ZKP_Voting,0,0,0,0,2025-04-27,Solidity,1
Vishnupriyan459/Identity-verification-using-zero-knowledge-proof-with-blockchain,0,0,0,0,2025-06-13,JavaScript,1
Fantasista766/ZKP,0,0,0,0,2023-12-19,Shell,1
MikeHerman19/Public-Permissioned-Decentralized-Applications,0,0,0,0,2024-06-05,Jupyter Notebook,1
ryejoon/svscribe-zkp-hackathon,0,0,0,0,2022-12-02,TypeScript,1
ashu0x/zk-phone-verifier,0,0,0,0,2023-04-22,JavaScript,1
misaakidis/invitezk,0,0,0,0,2024-11-21,Solidity,1
EdmundoZ12/zkp-bank,0,0,0,0,2025-07-09,JavaScript,1
niravparmar/zokrates-example,0,0,0,0,2023-01-19,Solidity,1
istiaque010/Enhanching_Privacy_in_eKYC,0,0,0,0,2024-09-03,Solidity,1
Preethaeps/Gas-Cost-Optimization-with-Zero-Knowledge-Proofs,0,2,1,1,2024-10-04,Solidity,1
worksbyrohith/CRYPTOGRAPHY-SESSION-1-,0,0,0,0,2024-12-05,,1
alv-around/Folding-Relays,0,0,0,3,2024-07-16,Jupyter Notebook,2
gianlucamazza/hardhat-zokrates-example,0,0,0,0,2023-10-28,Solidity,1
vkobel/zkp-hash-demo,0,0,0,0,2024-06-12,Python,1
cmars/snarkhunt,0,0,0,0,2021-01-20,Shell,1
yaksetig/zokrates,0,0,0,0,2024-02-01,Solidity,1
istiaque010/Privacy-Preserving-Identification-Using-Hash-Tree-and-zk-SNARKs,0,0,0,0,2025-06-22,JavaScript,1
allthatjazzleo/zkSNARK-voting,0,0,0,0,2022-04-03,Solidity,1
Crimson-ray/SecureVault,0,0,0,0,2025-06-29,,1
leSamo/PoUW-SNARK-marketplace,0,0,0,0,2025-06-14,Python,1
mayuras7685/Zcomp-Meena,0,0,0,0,2024-07-26,Rust,1
prateushsharma/ZK_AI_Meme,0,0,0,0,2025-02-14,Python,2
robert-zaremba/zkp-zokrates-tutorial,0,0,0,0,2022-11-24,Shell,1
jac18281828/zokratescrucible,0,0,0,0,2024-01-03,Dockerfile,1
kaustabhbarman/ExPrESSO,0,0,1,1,2025-03-14,Python,1
anhdungle93/Zokrates-experiments,0,0,0,0,2022-06-24,Solidity,1
top-to-toe/ROS1_LIMO_PROJECT,0,0,0,0,2025-07-12,Python,1
vquanli/SDE-ZKML,0,0,0,0,2024-09-15,Jupyter Notebook,1
ZhouYuxuan97/zk-demo,0,1,0,0,2024-02-06,Solidity,1
xycloo/tmyxer,0,0,0,1,2022-09-29,JavaScript,2
iqbalmra/sudoku-zokrates,0,0,0,0,2023-11-18,,1
ChiHaoLu/defi-zk-fnp,0,0,0,0,2022-06-09,,1
only4sim/zkweather,0,0,0,0,2025-07-06,TypeScript,1
hikaruna/dqwdb,0,0,0,0,2024-11-08,JavaScript,1
faderer/Heimdall,0,0,0,0,2025-05-21,Circom,1
qatkk/PrivSecureML,0,0,0,0,2024-10-10,JavaScript,1
ilyadruzh/zkpl,0,0,0,0,2021-06-02,Shell,1
AdityaKoranga/zkSnarks-Proving-random-bits,0,0,0,0,2022-05-28,Solidity,1
sreeduggirala/magizk-square,0,0,0,0,2025-02-12,Solidity,1
SergioGarridoDeCastro/codigoZKP_TFM,0,0,0,0,2024-09-05,Solidity,1
nickst74/zk-hadoop,0,0,0,0,2022-11-08,Java,1
punwai/zok-sign-pool,0,0,0,0,2023-03-07,Python,1
questbook/zerkle,0,0,0,0,2022-06-04,Python,1
fapiper/oac-service,0,0,0,1,2024-08-08,Go,1
msinkec/zk-minesweeper-old,0,0,0,0,2022-12-02,JavaScript,1
vivianjeng/zkSNARK-verifier-in-C,0,0,3,9,2023-11-25,Rust,3
AsadKhan527/ZK-AI-Identity-Verifier,0,0,0,0,2025-06-19,Python,2
mbappai/honeyland,0,0,0,0,2022-06-18,Solidity,1
sinaghadrico/dapp-real-state,0,1,0,0,2020-12-28,,1
peterokwara/Real-Estate,0,0,0,0,2022-06-26,Solidity,1
snehapm04/Cryptography-Sect2,0,0,0,0,2024-09-08,,2
zkaccel/ZoKrates,0,0,0,0,2022-05-13,Rust,40
fapiper/zk-ssi-onchain-permissioning,0,0,0,0,2025-07-07,Solidity,1
berkingurcan/EncodeClub-ZK-Bootcamp-Q4,0,0,0,2,2023-10-17,Solidity,1
sandrotbilisi/decademic,0,0,0,0,2024-03-16,JavaScript,1
urataps/zk-encode-bootcamp,0,0,0,0,2023-10-13,Cairo,1
almatkhan/thesis-starlight,0,0,0,0,2024-08-23,JavaScript,1
apxlin/RollStore,0,0,0,0,2022-10-15,Python,1
Rakshu0308/Zokrates,0,0,0,0,2024-09-08,Rust,44
dark64/zokrates-1,0,0,0,0,2020-06-08,Rust,34
MartinCastroAlvarez/zk-trust,0,0,0,0,2025-02-15,Python,1
shivanshinigam/ZKProof,0,0,0,0,2025-06-26,Python,1
julyawang/i-f-tree,0,0,0,0,2021-03-15,Rust,1
leSamo/ZKP-demo,0,0,0,0,2024-08-12,Solidity,1
sakshamgoel5501/ZKP-Decentralized-Carpool,0,0,0,0,2023-08-10,JavaScript,1
corbt/fixed-id-browser-test,0,0,0,0,2021-10-06,TypeScript,1
aditya-git16/proofPositive,0,5,0,3,2024-03-30,Rust,4
EYBlockchain/zokrates-zexe.js,0,2,1,8,2022-09-16,JavaScript,9
B-niroula/Unlearning_Project,0,0,0,0,2025-03-03,,1
lipet2k/CS_7775_FINAL,0,0,0,0,2023-12-12,Python,1
adytiaa/zk_crs_agent,0,0,0,0,2025-06-19,Python,1
SwatiEY/TieredPriceZapp,0,0,1,1,2024-10-07,JavaScript,1
pods-finance/escrow-shield-demo,0,0,1,5,2024-04-30,JavaScript,3
moex3/random_dorama_subs,0,0,0,0,2025-07-07,,1
c6ai/v241031e,0,0,0,0,2024-10-31,TypeScript,1
HariprasathM1611/ADAS,0,0,0,0,2024-07-19,,1
ananya8606/PP_SMS,0,1,0,0,2024-07-30,JavaScript,1
dannpr/EncodeZKbootcamp,0,0,0,0,2023-07-31,Cairo,1
TrustworthyComputing/YAParser,0,0,0,0,2024-07-16,C++,2
agrawalprash/traceable-mixnets,0,0,0,0,2023-05-14,Python,1
shamsartem/priveasyVoting,0,0,0,0,2024-06-22,TypeScript,2
superaprile/thesis,0,0,0,0,2024-12-06,Solidity,1
blok-hamster/ZKTrace,0,0,0,0,2023-06-18,TypeScript,1
EunseongBoo/LightningZKP,0,1,13,16,2020-03-24,JavaScript,1
adytiaa/zk_crs,0,0,0,1,2025-05-19,TypeScript,2
sashafrolov/zk-genomics,0,0,0,0,2025-07-04,Rust,1
